actor_name
"Giancarlo Esposito"
"Woody Allen"
"Mira Sorvino"
"Helena Bonham Carter"
"F. Murray Abraham"
"Michael Rapaport"
"Jack Warden"
"Harvey Keitel"
"Juliette Lewis"
"Christopher McDonald"
"Rick Moranis"
"Tom Arnold"
"Carol Kane"
"Jeffrey Tambor"
"Andy García"
"Christopher Lloyd"
"William Forsythe"
"Steve Buscemi"
"Christopher Walken"
"Jeff Bridges"
"John Savage"
"Ethan Embry"
"Johnny Depp"
"Julia Roberts"
"John Malkovich"
"Michael Gambon"
"Glenn Close"
"Eddie Murphy"
"Christian Slater"
"James Caan"
"Ben Stiller"
"Meryl Streep"
"Clint Eastwood"
"Debra Monk"
"Brian Cox"
"Jodie Foster"
"Peter Boyle"
"Albert Brooks"
"Victor Argo"
"Jackie Chan"
"Alan Arkin"
"Joe Pantoliano"
"Halle Berry"
"Patricia Arquette"
"Lily Tomlin"
"Dianne Wiest"
"Michael Imperioli"
"Anna Levine"
"Kevin Corrigan"
"Bill Paxton"
"Kevin Bacon"
"Kathleen Quinlan"
"Clint Howard"
"Liam Neeson"
"Jessica Lange"
"John Hurt"
"Eric Stoltz"
"Tommy Lee Jones"
"Chris O'Donnell"
"Pat Hingle"
"Drew Barrymore"
"Debi Mazar"
"Keith David"
"Jared Harris"
"John Candy"
"Jim Belushi"
"Dan Aykroyd"
"Bill Pullman"
"Cathy Moriarty"
"John Turturro"
"Mike Starr"
"Spike Lee"
"Michael Badalucco"
"Ernie Hudson"
"Tim Curry"
"Mary Ellen Trainor"
"Denzel Washington"
"Viggo Mortensen"
"Steve Zahn"
"Samuel L. Jackson"
"Colleen Camp"
"Sean Connery"
"Richard Gere"
"John Gielgud"
"Matthew Lillard"
"Keanu Reeves"
"Udo Kier"
"Rob Schneider"
"Max von Sydow"
"Ben Affleck"
"Michael Rooker"
"Sandra Bullock"
"Parker Posey"
"Liev Schreiber"
"Elias Koteas"
"Gary Oldman"
"Robert Duvall"
"Joan Plowright"
"Gina Gershon"
"William Hurt"
"Forest Whitaker"
"Stockard Channing"
"Ben Kingsley"
"Michael Madsen"
"Alfred Molina"
"Vincent D'Onofrio"
"Richard Edson"
"Daryl Hannah"
"Kevin Costner"
"Dennis Hopper"
"Michael Jeter"
"Bradley Whitford"
"Whoopi Goldberg"
