crew_name
"Neil Nightingale"
"Colin Trevorrow"
"Paul King"
"Wes Ball"
"Angelina Jolie"
"Sergei Bodrov"
"Will Gluck"
"Lawrence Kasanoff"
"Duncan Jones"
"Joachim Rønning"
"Espen Sandberg"
"Josh Trank"
"Tim Miller"
"David Koepp"
"Glenn Ficarra"
"John Requa"
"Paul Tibbitt"
"James Wan"
"Paul Feig"
"Daniel Lee"
"Seth MacFarlane"
"Peter Sohn"
"Scott Cooper"
"Alejandro González Iñárritu"
"Patty Jenkins"
"Ericson Core"
"Alessandro Carloni"
"Craig Gillespie"
"Babak Najafi"
"Jared Bush"
"Stephen Chow"
"Cedric Nicolas-Troyan"
"Angus MacLane"
"Fergal Reilly"
"Clay Kaytis"
"James Bobin"
"Dave Green"
"Galen T. Chu"
"David Lowery"
"Travis Knight"
"Doug Sweetland"
"Nicholas Stoller"
"Walt Dohrn"
"Ben Affleck"
"Morten Tyldum"
"Garth Jennings"
"Justin Kurzel"
"Chris McKay"
"Stanley Tong"
"Jordan Vogt-Roberts"
"Dean Israelite"
"Alex Kurtzman"
"Brian Fee"
"Nikolaj Arcel"
